,,
id,kavaler_id,failinimi
F-0324,VRK-0531,"0531, hillilä, kaarlo henrik.png"
F-0325,VRK-0534,"0534, hindreus, egon-ferdinand.png"
F-0326,VRK-0535,"0535, hindse-nielsen, svend.png"
F-0327,VRK-0536,"0536, hinno, aleksander.png"
F-0328,VRK-0537,"0537, hinno, paul.png"
F-0329,VRK-0538,"0538, hinnom, arnold-johannes.png"
F-0330,VRK-0539,"0539, hinnov, ludvig.png"
F-0331,VRK-0540,"0540, hinterhoff, eugenjusz.png"
F-0332,VRK-0542,"0542, hinto, arved.png"
F-0333,VRK-0543,"0543, hints, martin-august.png"
F-0334,VRK-0544,"0544, hiob, richard-eduard.png"
F-0335,VRK-0545,"0545, hion, viktor.png"
F-0336,VRK-0547,"0547, hirjel, jaan.png"
F-0337,VRK-0550,"0550, hirve, vladimir.png"
F-0338,VRK-0551,"0551, hirvelaan, hans.png"
F-0339,VRK-0554,"0554, hjelt, vera augusta.png"
F-0340,VRK-0555,"0555, hjorth, valborg.png"
F-0341,VRK-0559,"0559, hoffart, robert.png"
F-0342,VRK-0560,"0560, holberg, johan.png"
F-0343,VRK-0561,"0561, holcmanis, vilis.png"
F-0344,VRK-0562,"0562, hold, herbert-andreas.png"
F-0345,VRK-0563,"0563, holland, johannes-voldemar.png"
F-0346,VRK-0564,"0564, holm, harald-matthias.png"
F-0347,VRK-0565,"0565, holm, heinrich.png"
F-0348,VRK-0567,"0567, holma, harri gustaf.png"
F-0349,VRK-0571,"0571, holopainen, eino.png"
F-0350,VRK-0573,"0573, holsmann, johann-ferdinand.png"
F-0351,VRK-0574,"0574, holstein, ernst emil.png"
F-0352,VRK-0575,"0575, holsti, eino rudolf woldemar.png"
F-0353,VRK-0576,"0576, honkajuuri, iivari mauri.png"
F-0354,VRK-0578,"0578, honnorat, andré.png"
F-0355,VRK-0579,"0579, hook, reinhold.png"
F-0356,VRK-0580,"0580, horn, julius.png"
F-0357,VRK-0581,"0581, hornborg, eirik mikael.png"
F-0358,VRK-0584,"0584, horthy de nagybánya, miklós.png"
F-0359,VRK-0585,"0585, horton, max kennedy.png"
F-0360,VRK-0586,"0586, howard, esme william.png"
F-0361,VRK-0589,"0589, hoyningen-huene, hermann-hans-jürgen von.png"
F-0362,VRK-0593,"0593, hunt, karl.png"
F-0363,VRK-0594,"0594, hunt, reinhold-aleksander.png"
F-0364,VRK-0597,"0597, hüppler, edmund-rudolf.png"
F-0365,VRK-0598,"0598, hurmerinta, kaarlo viktor.png"
F-0366,VRK-0600,"0600, hurt, richard.png"
F-0367,VRK-0603,"0603, hussar, jaan.png"
F-0368,VRK-0604,"0604, hüvato, valdur.png"
F-0369,VRK-0605,"0605, hymans, paul louis adrien henri.png"
F-0370,VRK-0556,"0556, hõbemägi, edgar-johannes.png"
F-0371,VRK-0611,"0611, ibrus, hellmuth-matthias.png"
F-0372,VRK-0612,"0612, idam, hans.png"
F-0373,VRK-0613,"0613, idman, karl gustaf.png"
