Karl-Alexander Kool      |      VR I/3
August Koorits      |      VR II/3
Peeter-Ernst Koot      |      VR II/3
Johan Koov      |      VR II/3
Hendrik Koppel      |      VR II/3
Karl-Oskar Koppel      |      VR I/3
Tiidu Kore      |      VR II/2, II/3
Karel-Adolf Korjus      |      VR II/3
Jüri Kork      |      VR II/3
Karl-Ferdinand Kornel      |      VR I/3
August Korts      |      VR II/3
Joosep Korts      |      VR II/3
Arthur Korv      |      VR II/3
Anton Kose      |      VR II/3
Mihkel Kosk      |      VR II/3
Rudolf-Eduard Kosk      |      VR II/3
Paavali Johannes Koskinen      |       VR II/3
Iisakki Vihtori Kosola      |      VR I/3
August Kottise      |      VR II/3
Boris Kovkin      |      VR II/3
Valfried Krastin      |      VR II/3
Aleksander Kraus      |      VR II/3
Arthur-Joseph Krimming      |       VR II/3
Gustav-Karl Kromel      |      VR I/3
Konstantin Kronk      |      VR II/3
Leonhard-Johann Krull      |      VR II/3
Hans Krup      |      VR II/3
Aleksander Kruus      |      VR I/3
Hans Kruus      |      VR II/3
Jaan Kruus      |      VR II/3
Voldemar Kruusa      |      VR II/3
Johannes Kruuse      |      VR II/3
Karl-Voldemar Kruuse      |      VR II/3
Peeter Kruusement      |      VR II/3
Albert Kruusimägi      |      VR I/3
Jüri Kruusmann      |      VR I/3
Eduard-Alfred Kubbo      |      VR I/2, II/3
Heinrich-August Kubu      |      VR II/3
Friedrich-Johann Kukebal      |       VR II/3
Anna-Marie Kukk      |      VR II/3
Arne Kukk      |      VR II/3
Eduard Kukk      |      VR II/3
Johannes Kukk      |      VR II/3
Juhan Kukk      |      VR III/1
Mihkel Kukk      |      VR II/3
August Kulasalu      |      VR II/3
Hugo Kulbok      |      VR II/3
Johannes Kuldna      |      VR II/3
Hans Kuldsepp      |      VR II/3
Aleksander Kulgver      |      VR I/3
August Kull      |      VR II/3
August Kull      |      VR II/3
Villem Kull      |      VR II/3
Jaan Kullamäe      |      VR I/3
Martin Kullasepp      |      VR II/3
Aleksander Kunder      |      VR II/3
Gustav Kungla      |      VR II/3
Aarne Kunila      |      VR II/3
